Cuadrilla,Responsable,Dia,Fecha,InicioEvento,FinEvento,Duracion,Evento,Cuenta,id_ot,Items,Num_Filas,Archivo,Tipo
Yantzaza Z1 (Cuadrilla. Nro. 5),"['AO', 'JLC']",jueves,2026-03-26,17:00:00,19:26:00,=F189-E189,"El Pindal, se revisa LMV desde la estructura 33769, derivación al Pindal en la estructura 33798 se repone tira fusible de 6A-T; Causa: tormenta eléctrica y fuertes vientos.","[{'cuenta': 'REDES', 'peso': 1.0}]",173753,"['1', '3', '5']",3,OT [04] Cuadrilla Yantzaza 2026-03-26 (023) AO.pdf,NORMAL
El Pangui Z1 (Cuadrilla. Nro. 4),"['HM', 'AD']",lunes,2026-03-16,19:28:00,19:58:00,=F123-E123,"El Pangui, la estructura 227941 se rehabilita el transformador # 23783 de 37.5 KVA; Causa: desconocida","[{'cuenta': 'REDES', 'peso': 1.0}]",172771,[],3,OT [08] Cuadrilla El Pangui 2026-03-16 (042) HM.pdf,NORMAL
Zamora Z1 (Cuadrilla. Nro. 6),"['RS', 'JCR']",domingo,2026-03-08,23:55:00,23:59:00,=F10-E10,"Tranposrte, nos trasladamos desde agencia EERSSA Zamora a la calle Diego de Vaca, continua al siguiente día.","[{'cuenta': 'ACOMETIDAS', 'peso': 1.0}]",172769,[],1,OT [01] Cuadrilla Zamora 2026-03-08 (007) RS.pdf,DESCANSO
Zamora Z1 (Cuadrilla. Nro. 6),"['LL', 'SO']",lunes,2026-03-16,17:05:00,18:39:00,=F15-E15,"Sakantza, M# 18-237293 breaker dañado, se cambia breaker y se normaliza el servicio eléctrico.","[{'cuenta': 'ACOMETIDAS', 'peso': 1.0}]",172774,[],1,OT [01] Cuadrilla Zamora 2026-03-16 (006) FR.pdf,NORMAL
Zamora Z1 (Cuadrilla. AP Nro. 4),"['LM', 'MC']",jueves,2026-03-19,17:00:00,18:30:00,=F33-E33,"INC No. 11041012368. Atendido, luminaria de 70 W Na en mal estado, Repotenciación, se reemplaza por 150W Na 2NP Nos trasladamos desde el barrio La Unión de Chicaña hacia Los Encuentros. Los Encuentros, se continúa revisando la falla del brazo Hidráulico del vehículo canasta 2-91 y se logra encontrar conexiones flojas en la unión de los terminales del sistema eléctrico.","[{'cuenta': 'ALUMBRADO', 'peso': 1.0}]",172959,[],2,OT [02] Alumbrado Zamora 2026-03-19 (012) LM.pdf,NORMAL
Zamora Z1 (Cuadrilla. Nro. 6),"['RS', 'JCR']",lunes,2026-03-02,21:27:00,23:59:00,=F2-E2,"San Carlos de las Minas, arreglo de conexiones y cambio de breaker del M# 297664 desde la Est # 245700","[{'cuenta': 'ACOMETIDAS', 'peso': 1.0}]",172309,[],3,OT [01] Cuadrilla Zamora 2026-03-02 (007) RS.pdf,NORMAL
Yantzaza Z1 (Cuadrilla. Nro. 5),"['SB', 'GT']",martes,2026-03-17,19:16:00,21:45:00,=F61-E61,"Guayacanes, en medidor 1262778, se revisa voltajes y todo normal el inconveniente es falta de internet, es segunda ocasión que este reclamo se realiza y es falsa incidencia. Los Encuentros, informan falta de fase en medidor 18-245529, se revisa y se determina daño interno, se informa a cliente. ","[{'cuenta': 'ACOMETIDAS', 'peso': 1.0}]",172872,[],5,OT [04] Cuadrilla Yantzaza 2026-03-17 (021) SB.pdf,NORMAL
El Pangui Z1 (Cuadrilla. Nro. 4),"['HM', 'AD']",viernes,2026-03-20,06:52:00,08:00:00,=F126-E126,"Atención de daños en Tsarunts, desde El Pangui hasta Valle Hermoso (Yantzaza) a causa de que no hay paso por El Guismi.","[{'cuenta': 'REDES', 'peso': 1.0}]",173109,[],1,OT [08] Cuadrilla El Pangui 2026-03-20 (042) HM.pdf,NORMAL
Líneas Energizadas (Cuadrilla  Nro.6),['GLE'],martes,2026-03-03,06:40:00,08:00:00,=F74-E74,"San Roque: estructura # 311147 se puentea derivación monofasica, se abre y cierra puentes y realiza maniobras para des energiza un tramo de linea de media tension para entrar con linea a las nuevas estructu","[{'cuenta': 'REDES', 'peso': 1.0}]",171894,[],1,OT [05] Energizados Yantzaza 2026-03-03 (027) LA.pdf,NORMAL
Líneas Energizadas (Cuadrilla  Nro.6),['GLE'],lunes,2026-03-23,17:00:00,18:00:00,=F196-E196,"Es s/n se instala 3 estribos y conexión de 3 pararrayos, también se instala estribo para transformador monofásico y coordinar con centro de control habilitar recierre. Laboran: LA, CB, RM, CO, SR, WG de 08:00 a 18:00. SE PERNOTA EN GUALAQUIZA. KILOMETRAJE CANASTA 2-146 Inicial: 1126 final: 1225.","[{'cuenta': 'REDES', 'peso': 1.0}]",173230,['4'],1,OT [05] Energizados Yantzaza 2026-03-23 (027) LA.pdf,NORMAL
